Port Name;State;Port Code;Border;Longitud;Latitud;Mes;Year;Measure;Value
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2001;Truck Containers Empty;22803
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2013;Truck Containers Empty;26117
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;2009;Pedestrians;657614
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2006;Personal Vehicles;1205300
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;5;2000;Train Passengers;174
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;1996;Train Passengers;0
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2005;Buses;1523
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;4;2005;Personal Vehicle Passengers;2367669
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2006;Trucks;65348
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;2;1997;Truck Containers Empty;17213
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;2002;Trains;54
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;2;2001;Rail Containers Empty;2251
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2008;Truck Containers Loaded;31801
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2013;Train Passengers;0
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;4;2010;Personal Vehicles;845043
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;2003;Personal Vehicles;1212136
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;2007;Truck Containers Empty;32733
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;1997;Trucks;44149
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;2004;Bus Passengers;16475
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2011;Buses;2093
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;1999;Truck Containers Empty;28041
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;2;2007;Train Passengers;841
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;2008;Rail Containers Empty;7088
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2004;Truck Containers Empty;26764
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;2019;Train Passengers;575
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;5;2020;Pedestrians;152933
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;1996;Trains;54
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2009;Rail Containers Loaded;1882
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2015;Trucks;60323
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2001;Bus Passengers;9763
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2013;Trucks;59609
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;2009;Trucks;52238
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;2006;Truck Containers Loaded;35284
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2000;Rail Containers Empty;2133
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;1996;Personal Vehicles;1337009
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2005;Personal Vehicles;1391523
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;4;2005;Trains;129
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2006;Personal Vehicle Passengers;2361230
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;1997;Pedestrians;339155
